,Base CV Avg,Base CV Std,PCA CV Avg,PCA CV Std,CV t-test,CV p-value,Base Ext Avg,Base Ext Std,PCA Ext Avg,PCA Ext Std,Ext t-test,Ext p-value,Base BAcc Avg,Base BAcc Std,PCA BAcc Avg,PCA BAcc Std,BAcc t-test,BAcc p-value,Base BSens Avg,Base BSens Std,PCA BSens Avg,PCA BSens Std,BSens t-test,BSens p-value,Base BSpec Avg,Base BSpec Std,PCA BSpec Avg,PCA BSpec Std,BSpec t-test,BSpec p-value
Accuracy,0.8385000000000001,0.018781639970992966,0.8380000000000001,0.01989974874213241,0.18181059325492244,0.5720410078417679,0.7923505976095612,0.01081260514221383,0.7904780876494019,0.01022120075499404,1.252181462682848,0.10599274457078998,0.7942629482071708,0.030134484784370728,0.7976095617529876,0.033002864428578034,-0.7450820396551023,0.228556439223902,0.8107171314741032,0.025612882417219672,0.8012350597609558,0.027393994698483564,2.515698422603709,0.006338903764303331,0.7684063745019916,0.03511248751619465,0.7695219123505972,0.03740938269074967,-0.21633669889344073,0.585525541499114
Sensitivity,0.8208,0.028131121556027566,0.8204,0.025919876542915863,0.10404608475511246,0.4586193966869546,0.7304571428571421,0.015482551073873403,0.7278285714285705,0.014560892549453537,1.2305475611163592,0.10997874252274781,0.7322857142857135,0.04368626552954989,0.736857142857142,0.04794810119455442,-0.7012242823520042,0.24199672922478416,0.7576571428571419,0.03674152408157171,0.7443999999999992,0.039695617400618714,2.4386754197468044,0.007814090447643671,0.6927428571428567,0.050187273775127036,0.6954285714285707,0.054165279940385835,-0.36188784298418336,0.6410880019066909
Specificity,0.8561999999999999,0.02663756745650774,0.8555999999999999,0.02960810699791528,0.14989594171482698,0.44050049230833166,0.9348684210526328,0.002867696673382031,0.9347368421052644,0.002578410255561248,0.3394853325785975,0.3673039977336451,0.9369736842105274,0.008981166813990303,0.937500000000001,0.009912183666657507,-0.39151045135521767,0.6520774772980475,0.9328947368421063,0.009210526315789504,0.9321052631578959,0.010805507982972565,0.5532453205834181,0.2903676068323673,0.9426315789473695,0.010932935830442659,0.9401315789473693,0.010255563992184172,1.6593980753325395,0.049312557607208145
