,0
0,7.548220825624498
1,4.810437730102338
2,3.254319891464391
3,2.1070531100060967
4,1.845227266828795
5,1.6031276890735657
6,1.5127018253341031
7,1.2633538682872125
8,1.154343131327116
9,0.9718153743741725
10,0.8637926181531941
11,0.837276019911624
12,0.7526925836917433
13,0.6463227615629279
14,0.6068781697305401
15,0.511526362871657
16,0.4533729480605441
17,0.3488939570846734
18,0.30967594728239295
19,0.2758637607174982
20,0.21951855871049325
21,0.20292328878411126
22,0.18669774289050461
23,0.16021225858417826
24,0.1250543505913914
25,0.11462221464041494
26,0.08697418801733775
27,0.06582636663338197
28,0.0521556478935965
29,0.035537031217165574
30,0.03044017422471883
31,0.029768414507150544
32,0.01337392181649899
