,0,1,2,3,4,5,6,7,8,9
0,0.13373221,0.49586266,0.018074566,0.37176353,-0.10667261,0.05379966,0.051220432,-0.40027514,0.54798627,0.10976606
1,0.19546025,0.0026212186,0.42454028,0.14513263,-0.3675919,-0.41163784,-0.22374476,-0.16449119,-0.29663977,0.18009688
2,0.23868717,-0.14014691,0.31513435,-0.051989697,-0.3403981,0.23576726,0.20259073,0.2816096,0.32927102,0.079686575
3,0.25407162,0.10991611,-0.21449585,-0.113554366,-0.5699967,0.09335358,-0.029619925,-0.17492408,-0.109534144,-0.17383043
4,0.24999192,0.3299653,0.2590317,0.11363177,0.2520812,-0.10763526,-0.19369845,0.19814779,-0.24133658,-0.11102756
5,0.27095005,-0.046446312,0.27340248,-0.29019433,0.18897867,-0.17432445,0.34107146,-0.14058444,-0.06829792,-0.07563306
6,0.2853413,0.15863013,-0.15898488,-0.2587209,-0.23807855,-0.17633247,-0.16980195,0.29806837,0.047746513,0.09243276
7,0.29456654,0.12131646,-0.22006086,-0.24664932,-0.0049029477,-0.11486407,0.085577786,0.1387033,-0.015485227,-0.45548025
8,0.25845012,0.053405076,0.08476164,-0.30526373,0.30453894,0.1482356,-0.34287784,-0.29628333,-0.015009739,0.34872732
9,0.25527984,0.15324661,-0.034336798,0.3376044,0.33220223,-0.33333522,0.062323496,0.2402395,0.19217902,-0.14848183
10,0.26391658,0.19320695,-0.40790254,-0.19812472,0.15063208,0.17418031,0.10150057,0.0001436531,0.010268235,0.22487189
11,0.27249622,-0.24519394,0.20451656,-0.06390078,0.08818241,0.06120915,0.41466525,0.09486047,0.10486481,0.33596057
12,0.23303495,-0.32570773,0.06349173,-0.045039266,0.12091208,0.23424287,-0.58644974,-0.039854147,0.2575805,-0.152222
13,0.12791994,-0.51189804,-0.29808512,0.15514293,-0.031103436,-0.46028203,-0.11359339,-0.0050224727,0.30894578,0.05404466
14,0.26466405,-0.24760142,0.021210892,0.15312521,0.08191795,0.13313869,0.20044135,-0.50846416,-0.14561038,-0.43831283
15,0.22583066,-0.07696845,0.036186144,0.44562447,-0.029751994,0.47471282,-0.070239864,0.33941874,-0.20051907,-0.07000216
16,0.22517191,-0.11105734,-0.38386336,0.31875986,0.003924039,-0.010894705,0.098757915,-0.07653928,-0.39294502,0.39330733
