,Base CV Avg,Base CV Std,PCA CV Avg,PCA CV Std,CV t-test,CV p-value,Base Ext Avg,Base Ext Std,PCA Ext Avg,PCA Ext Std,Ext t-test,Ext p-value,Base BAcc Avg,Base BAcc Std,PCA BAcc Avg,PCA BAcc Std,BAcc t-test,BAcc p-value,Base BSens Avg,Base BSens Std,PCA BSens Avg,PCA BSens Std,BSens t-test,BSens p-value,Base BSpec Avg,Base BSpec Std,PCA BSpec Avg,PCA BSpec Std,BSpec t-test,BSpec p-value
Accuracy,0.8380000000000004,0.01923538406167136,0.8492000000000004,0.019933890739140734,-4.022870397928828,4.089857575314346e-05,0.7578884462151388,0.017051187761540243,0.7041434262948201,0.011135725431369207,26.258142283223727,4.2602942164163545e-62,0.7869721115537844,0.03563657609959579,0.7469721115537843,0.035916262846489785,7.86615317679994,1.1614251704098708e-13,0.7919521912350592,0.03473948240249201,0.7525498007968122,0.035428587868215934,7.9012297439169465,9.390110121435304e-14,0.7656573705179278,0.04406446545955422,0.7253784860557764,0.04035624523834719,6.707218502909011,1.030722101833024e-10
Sensitivity,0.8186858974358974,0.0276097378639823,0.8185416666666667,0.03226758343517871,0.033792326917701385,0.5134611952974171,0.6790857142857137,0.024772862044534577,0.5884000000000001,0.01582465139700496,30.69522935974131,3.765262571656218e-71,0.7233714285714278,0.05158765870450224,0.6542857142857139,0.05207529869999631,9.377616054197187,7.984230196328473e-18,0.7314857142857134,0.049832339307083404,0.6637142857142854,0.05107417575028881,9.449898458402606,4.9803623318082436e-18,0.6901714285714281,0.06348044211103279,0.6222857142857142,0.057697310091863775,7.873975864912332,1.1426179469944995e-13
Specificity,0.8571634615384616,0.030972763499779617,0.879679487179487,0.02360580730931529,-5.7528295527619315,1.789362897774526e-08,0.9393421052631588,0.00668208627662877,0.970657894736843,0.006406962538915731,-33.658282784479645,4.435953800432114e-84,0.93342105263158,0.011291283133118422,0.9603947368421062,0.015623580267909568,-13.922789132021574,1.0808348530218388e-30,0.9311842105263171,0.010827116619563567,0.9571052631578958,0.019304026247466702,-11.652764628392333,2.928937771300195e-23,0.9394736842105273,0.010360536676331362,0.9627631578947377,0.014299792726545442,-13.12266223221673,2.3399036434149124e-28
