,Base CV Avg,Base CV Std,PCA CV Avg,PCA CV Std,CV t-test,CV p-value,Base Ext Avg,Base Ext Std,PCA Ext Avg,PCA Ext Std,Ext t-test,Ext p-value,Base BAcc Avg,Base BAcc Std,PCA BAcc Avg,PCA BAcc Std,BAcc t-test,BAcc p-value,Base BSens Avg,Base BSens Std,PCA BSens Avg,PCA BSens Std,BSens t-test,BSens p-value,Base BSpec Avg,Base BSpec Std,PCA BSpec Avg,PCA BSpec Std,BSpec t-test,BSpec p-value
Accuracy,0.6374013605442177,0.04611341592759387,0.6546870748299319,0.04691075719036176,-2.6146174442269814,0.00481006736903753,0.6715537848605581,0.15708160478369088,0.6382868525896414,0.15468975459244297,1.5013997955014156,0.06742279791056058,0.7070916334661355,0.12618414847499626,0.6990039840637451,0.12909396324079894,0.44577234403080507,0.32812449872468485,0.7904382470119521,0.061009533191687455,0.7708366533864541,0.04742702843968432,2.523874543788896,0.006220382097262315,0.34358565737051805,0.1044024189447095,0.34000000000000014,0.09192094175098715,0.25647998519947834,0.3989253979140734
Sensitivity,0.6458928571428573,0.1719481220586853,0.6545153061224491,0.1400118690861823,-0.38690150773625925,0.3496308400867417,0.6006857142857143,0.2693911866200738,0.5442285714285713,0.25530789095457557,1.5135083058679852,0.06587487745166012,0.6585714285714285,0.22369275576019854,0.6590285714285714,0.2250559005388371,-0.014334395027108088,0.5057111835388595,0.8969142857142858,0.12496901166909746,0.8377142857142856,0.12214411026926099,3.3707777540369546,0.000450624378909247,0.06468571428571429,0.16944737067470664,0.060342857142857136,0.15151656742442932,0.19009699341288927,0.42471514519382975
Specificity,0.6296683673469388,0.12703367275629135,0.6559438775510203,0.0877807975847494,-1.693121408877271,0.046100851423165425,0.8347368421052633,0.12158521287113687,0.8548684210526315,0.0952008919800388,-1.2971377039242038,0.9019100275101283,0.818815789473684,0.12550252174354476,0.7910526315789472,0.13797958418175324,1.4810302732441694,0.9298988756141174,0.5452631578947369,0.2753574861018937,0.616842105263158,0.2046404183709194,-2.075944293820588,0.9803507445795931,0.9857894736842107,0.04897424276386138,0.9839473684210526,0.0518554618113424,0.256969339072752,0.39873507201458136
