,0
0,7.1538334
1,1.5955057
2,1.5333786
3,1.2729639
4,1.027962
5,0.8028708
6,0.7021563
7,0.6627148
8,0.5222419
9,0.486428
10,0.35300753
11,0.2714478
12,0.1796029
13,0.15265357
14,0.14305244
15,0.079225965
16,0.060954604
